Frame,Steering,throttle,Brake,Speed(km),velocity.x,velocity.y,velocity.z,Latitude,Longitude,Altitude,Yaw,Pitch,Roll,Heading,Simulation_time(s),Frame_elapsed_time(s),dist
1899.jpg,-5.71E-05,0.5,0,21.41081886,-1.52E-05,-5.947449684,-6.10E-07,49.00142649,8.001267087,-0.010395718,-90.01089478,0.043624416,1.67E-09,W,95.00000142,0,0
1900.jpg,0.000113351,0.5,0,21.07828159,4.90E-05,-5.85507822,-1.32E-06,49.00142385,8.001267085,-0.010478592,-89.99279785,0.052804191,7.34E-06,W,95.05000142,0.050000001,0.292753915
1901.jpg,-4.84E-05,0.5,0,21.11096935,-1.18E-05,-5.864158154,-7.25E-07,49.00142121,8.001267087,-0.010503349,-90.0114212,0.055543095,-3.05E-05,W,95.10000142,0.050000001,0.293207912
1902.jpg,0.00010485,0.5,0,20.7730505,1.23E-05,-5.770291805,-1.68E-06,49.00141861,8.001267085,-0.010564785,-89.992836,0.062345963,-3.05E-05,W,95.15000142,0.050000001,0.288514595
1903.jpg,-6.41E-05,0.5,0,20.81177902,-9.39E-05,-5.781049728,-9.54E-07,49.00141601,8.001267087,-0.01057085,-90.01202393,0.063015319,-9.16E-05,W,95.20000142,0.050000001,0.289052491
1904.jpg,0.000144305,0.5,0,20.46893349,9.64E-05,-5.685814857,-2.27E-06,49.00141344,8.001267085,-0.010618343,-89.9928894,0.068274565,3.34E-09,W,95.25000142,0.050000001,0.284290747
1905.jpg,-5.40E-05,0.5,0,20.51393108,-5.71E-05,-5.69831419,-5.72E-08,49.00141089,8.001267087,-0.010611935,-90.01245117,0.067564227,-3.05E-05,W,95.30000142,0.050000001,0.284915714
1906.jpg,0.0001394,0.5,0,20.16650563,8.39E-05,-5.601807117,-6.48E-07,49.00140836,8.001267085,-0.010650692,-89.9928894,0.071846753,3.34E-09,W,95.35000142,0.050000001,0.28009036
1907.jpg,-4.36E-05,0.5,0,20.21788387,-4.60E-05,-5.616078854,4.77E-07,49.00140584,8.001267088,-0.010636082,-90.01291656,0.070221171,-3.05E-05,W,95.40000142,0.050000001,0.280803947
1908.jpg,0.000136784,0.5,0,19.86614456,7.28E-05,-5.518373489,9.54E-08,49.00140334,8.001267085,-0.010669384,-89.9928894,0.073909476,-3.05E-05,W,95.45000142,0.050000001,0.275918679
1909.jpg,-2.79E-05,1,0,19.9324316,-2.95E-05,-5.536786556,-6.48E-07,49.00140086,8.001267088,-0.010647049,-90.01303101,0.071430117,-3.05E-05,W,95.50000142,0.050000001,0.276839332
1910.jpg,0.000154441,1,0,19.65332052,0.000202292,-5.459255695,-1.33E-07,49.0013984,8.001267085,-0.010649337,-89.99449921,0.071682833,4.74E-05,W,95.55000142,0.050000001,0.272962789
1911.jpg,-3.98E-05,1,0,19.92763025,-0.000224635,-5.535452843,1.33E-07,49.00139592,8.001267087,-0.010529537,-90.00946045,0.058404945,-0.00012207,W,95.60000142,0.050000001,0.276772646
1912.jpg,0.00010801,1,0,19.94741936,0.000152466,-5.540949821,3.05E-07,49.00139344,8.001267086,-0.010362758,-89.99999237,0.039936114,0,W,95.65000143,0.050000001,0.277047495
1913.jpg,2.42E-05,1,0,20.52972393,-0.000119577,-5.702701092,1.68E-06,49.0013909,8.001267087,-0.010041905,-90.00347137,0.004391811,-6.10E-05,W,95.70000143,0.050000001,0.285135059
1914.jpg,4.68E-05,0.5,0,20.75121861,-8.91E-05,-5.76422739,1.16E-06,49.00138832,8.001267086,-0.009723416,-90.00271606,-0.030879283,-9.16E-05,W,95.75000143,0.050000001,0.288211374
1915.jpg,4.22E-05,0.5,0,21.30726242,-8.93E-05,-5.918684006,6.29E-07,49.00138569,8.001267086,-0.009387359,-90.00246429,-0.068110645,-3.05E-05,W,95.80000143,0.050000001,0.295934205
1916.jpg,3.90E-05,0.5,0,21.42932053,-7.29E-05,-5.952589035,-1.09E-06,49.00138302,8.001267086,-0.009175911,-90.0021286,-0.09149038,3.34E-09,W,95.85000143,0.050000001,0.297629456
